link;title;price;offer;image_url;availability;rating;reviews
https://www.amazon.com.mx/Cera-Modeladora-para-Natural-Flexible/dp/B01CUH8ZHU/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-1;EGO FOR MEN Cera Dry 50ml;$25.00;$9.90 (28%);https://images-na.ssl-images-amazon.com/images/I/51WM4tK9axL._AC_SX425_.jpg;Disponible.;4.4 de 5 estrellas;"[""Es una cera que fija muy bien el cabello, sin embargo su aplicación no es sencilla ya que  la consistencia del producto es algo dura y dificil de manejar en los dedos."",""A mí no me sirvió. Sólo mantiene la forma del peinado un par de horas, luego me lo comenzó a \""esponjar\"". Además, la cantidad que trae realmente es muy poca (aunque sí avisan de ello en la descipción)."",""La verdad mi opinion sobre el producto no es nueva ya que yo ya he usado este producto por largo tiempo y esta perfecto no obstante algo que si me sorprendio es el tamaño, viene en una version mas grande de la que venden en las tiendas y me viene perfecto para que me dure mas."",""buen prodcuto por el precio.<br>no es tan pegajosa, parece mas una crema que te deja el cabello brilloso y te permite peinarlo. A mi que tengo el cabello chino y un poco grifo es dificil... Bueno pero para ponerselo con el cabello mojado"",""La mejor opción en ceras, cumple con lo promocionado"",""Si comparamos únicamente ceras, esta es mi favorita en efecto mate. Además de tener una buena fijación."",""Es manejable"",""El cabello se ve brilloso, no se esponja y se acomoda muy bien, queda manejable.""]"
https://www.amazon.com.mx/Ego-Gel-Attraction-230-Pack/dp/B07RRYC9H6/ref=sr_1_2?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-2;Ego For Men Gel Attraction 230 Ml;$18.31;null;https://images-na.ssl-images-amazon.com/images/I/51byMVtR-OL._AC_SX425_.jpg;Disponible.;4.8 de 5 estrellas;"[""Gel con excelente aroma. Sin embargo deja residuos"",""Cumple su propósito como cualquier gel, para el precio obtienes un muy buen valor, pero recomendaría más una pomada de cabello si lo que buscas es cuidar tu cabello""]"
https://www.amazon.com.mx/Ego-Jab%C3%B3n-Tocador-Force-Pack/dp/B07R8YNWMK/ref=sr_1_3?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-3;EGO Jabón en Barra Force 2 en 1 150g;$10.30;null;https://images-na.ssl-images-amazon.com/images/I/517dR5V6TML._AC_SX425_.jpg;Disponible.;4.5 de 5 estrellas;"[""Jabón de cuerpo excelente"",""Huele muy rico, excelente."",""tiene un rico aroma y uns excelente cantidad de espuma, se desgasta un poco mas rápido y se mantiene mas aguada la capa superior.""]"
https://www.amazon.com.mx/EGO-Shampoo-Control-Caida-200ml/dp/B088MMHFW8/ref=sr_1_4?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-4;EGO FOR MEN Shampoo Control Caida 2 en 1 200ml;$33.80;null;https://images-na.ssl-images-amazon.com/images/I/512ySQmHjML._AC_SX425_.jpg;Disponible.;4.6 de 5 estrellas;"[""EL producto bien, pero el empacado muy mal, compre 3 y solo llegaron 2 llenos, 1 se salio todo el producto y lo peor es que daño otros productos que venían en el mismo empaque"",""Me encantó, bueno no pensé que estuviera muy chico pero lo que mas me gustó que me llego al otro día que ise la compra me gusto mucho gracias"",""Me gusto y te deja el pelo bien y manejable"",""Tiene un buen aroma y cumple su función"",""Llegaron muy bien y es buen producto"",""Muy bien respecto a precio calidad<br>Buen producto""]"
https://www.amazon.com.mx/Jab%C3%B3n-L%C3%ADquido-Corporal-Fresh-370ml/dp/B088MNYBQX/ref=sr_1_5?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-5;EGO Jabón Líquido Corporal Fresh 370ml;$39.90;null;https://images-na.ssl-images-amazon.com/images/I/51EC1R0StIL._AC_SX425_.jpg;Disponible.;4.4 de 5 estrellas;"[""Pues me gustó el producto, no se necesita mucho para hacer buena espuma y el aroma es muy agradable como perfume de hombre y cuando lo uso en el cabello me deja una buena sensación, me encantó lo recomiendo."",""Huele muy rico y hace bastante espuma sin duda lo volvería a comprar."",""El producto excelente a mi hijo le encanta, lo que deberían es tener cuidado a la hr del envió, ya que el producto abierto y se derramó"",""Huele muy agradable, aunque siento que no perdura mas alla del baño.<br>Buena compra."",""Siempre que lo pido, llega abierto y un reguero. Pónganle una bolsa cuando menos para que no manche lo demás."",""Me encanta""]"
https://www.amazon.com.mx/EGO-Shampoo-Limpieza-Profunda-200ml/dp/B088MMZLNM/ref=sr_1_6?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-6;EGO FOR MEN Shampoo Limpieza Profunda 200ml;$33.80;null;https://images-na.ssl-images-amazon.com/images/I/51tzTXaQu3L._AC_SX425_.jpg;Disponible.;4.7 de 5 estrellas;"[""El shampoo con el jabón al usarlos, dejan un aroma muy muy rico. Perdura y se siente bien"",""No tener espuma, realmente no sé si sirve de acuerdo a lo que ofrece"",""Lo compré para un amigo y le encantó, el aroma es delicioso y dura bastante, la calidad es buen, vinieron sellados, en general excelente"",""llega muy bien""]"
https://www.amazon.com.mx/desodorante-hombre-aerosol-ULTRA-FRESH/dp/B08FNPP1TX/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-7;EGO desodorante para hombre en aerosol ULTRA FRESH 150ML;$27.50;$8.40 (23%);https://images-na.ssl-images-amazon.com/images/I/51FOX3XnNtL._AC_SX425_.jpg;Disponible.;4.7 de 5 estrellas;"[""Me gustó el aroma pero es algo húmedo y en lo personal me gustan más las versiones secas, el precio es muy bueno y lo aproveche con la oferta de Amazon de 10 artículos con 10% de descuento"",""El olor no es el mejor, pero el producto es bueno, y cumple bien su función."",""Tiene olor fresco y juvenil, a muy buen precio y dura todo el día"",""Buen producto era lo que esperaba"",""Buen producto, llegó antes de lo considerado y a un precio asequible."",""huele super bien"",""Buen producto"",""Agradable Aroma""]"
https://www.amazon.com.mx/EGO-Ego-control-caspa-950ml/dp/B08LCKXPGL/ref=sr_1_8?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-8;EGO Ego gel control caspa 950ml;$52.00;null;https://images-na.ssl-images-amazon.com/images/I/612gl5mEobL._AC_SY355_.jpg;Disponible.;4.6 de 5 estrellas;"[""Buena fijación y olor agradable"",""Tiene un aroma muy peculiar, se entrego en perfectas condiciones y el precio es muy bueno."",""El gel llego abierto y mancho parte de los demás productos, además se derramó parte del producto."",""El producto es bueno, pero me llego abierto.""]"
https://www.amazon.com.mx/Ego-Gel-Cool-Tarro-250/dp/B06XB1TYGL/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-9;EGO FOR MEN Gel Force 250ml;$15.08;null;https://images-na.ssl-images-amazon.com/images/I/51EXqD1K7XL._AC_SX425_.jpg;Disponible.;4.8 de 5 estrellas;"[""Buen producto, mantiene el pelo firme todo el día, incluso en peinados verticales."",""Excelente precio, sin dudar es un excelente producto por su calidad y aroma"",""buena fijación y aroma."",""Llegó en perfecto estado."",""Bueno cumple para lo que se necesita"",""Buena calidad, lo recomiendo"",""Excelente producto llego en el tiempo indicado y en las condiciones solo falta probarla"",""Buen precio"",""I always buy this product in Mexico for about 3 bucks or less; I live in a border town. But with the crossing restrictions placed due to Covid, the line coming back into the states are a tedious 5/6 hour wait in traffic, so I’m willing to spend the inflated price; that’s the only reason I’m giving it a 4 star and not 5. Anyway, this is the perfect gel I’ve bought for years: no white residue when dry and the holding power is great. It doesn’t harden it like a rock but enough to mold your hair and easily rinses off. It has a nice smell to it, too."","""",""Everything sticks to my hair when I use it"","""",""Nothing like it among US hair products."","""",""Tengo muchos años de utilizarla y vale la pena"",""Great quality and fast shipping. Thank you!"",""""]"
https://www.amazon.com.mx/Ego-Shampoo-Black-500-ml/dp/B01HORD99U/ref=sr_1_10?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-10;Ego Shampoo, Black, 500 ml;null;null;https://images-na.ssl-images-amazon.com/images/I/81-Tk5MOE2L._AC_SY879_.jpg;Not Available;4.4 de 5 estrellas;"[""Muy barato. Compré dos. Lamentablemente lo enviaron junto a artículos a otros artículos pesados(fabuloso de 5l), se aplastó y se tiró uno de ellos. Afortunadamente se equivocaron y enviaron otro articulo de más, de aproximadamente el mismo precio. Supongo que no hay daño hecho. Pero creo que así como le ponen cinta a las taparoscas para que no se abran accidentalmente, tambien deberían ponerle a la tapa de estos productos. Si usted piensa comprarlos, asegúrese de hacer una compra aparte o con artículos ligeros."",""Mi razón para darle tres estrellas es porque la botella llegó abierta y se hizo un desastre en , desperdiciando producto y ensuciando lo que venía en el mismo sobre. Adjunto foto.<br>Este tipo de productos se mandan en caja justamente para evitar estas situaciones."",""Es prácticamente el mismo precio de los supermercados minoristas pero en la puerta de tu casa con prime"",""Es un buen producto y es un exclente precio para los shampoos que envían. El producto llegó a tiempo y en buen estado."",""Cumple con las expectativas"",""Llegó en buenas condiciones"",""Bueno.<br>Me gusta"",""Excelente, entregado en tiempo y sin daño""]"
https://www.amazon.com.mx/Jab%C3%B3n-L%C3%ADquido-Corporal-Force-370ml/dp/B088MM2DSS/ref=sr_1_11?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-11;EGO Jabón Líquido Corporal Force 370ml;$37.50;null;https://images-na.ssl-images-amazon.com/images/I/51G47ZoAhRL._AC_SX425_.jpg;Disponible.;4.5 de 5 estrellas;"[""Estaba acostumbrado a otras marcas y decidí probar pero no me gusto, no hace la suficiente espuma por lo que se debe ocupar más y se acaba rápido, el aroma no es muy bueno."",""Buen producto"",""El producto se abrió y se derramó como se muestra en la imagen a diferencia de la crema que muestra venir bien sellada."",""Bueno (aunque en lo particular el aroma no me agradó al 100%) entre el rojo, negro y verde, me quedo con el segundo."",""Vale la pena"",""BUEN AROMA"",""Me encanta""]"
https://www.amazon.com.mx/Desodorante-Hombre-Stick-Barra-gramos/dp/B089P8KM3C/ref=sr_1_12?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-12;EGO Desodorante Para Hombre Stick En Barra Alfa, 45 gramos;$29.90;null;https://images-na.ssl-images-amazon.com/images/I/51By5J0ZvIL._AC_SX425_.jpg;Disponible.;4.4 de 5 estrellas;"[""Huelen bien, me llegaron en tiempo y forma...y pues en la calidad y precio excelente, los volveré a comprar"",""Me enviaron otro desodorante que no pedi... ademas venia abierto. No lo devolvere ya que lo tire a la basura, por el precio no tengo problema. Ademas de que lo entregaron tarde lo enviaron mal. Como si estuviera usado."",""Buen precio"",""Huele rico y es buen antitranspirante, me controla bien la transpiración"",""Pensé que tendría un mejor aroma es algo suave y a mi papá no le agrado eso pero de lo demás todo cool"",""Excelente producto y entrega muy rápida""]"
https://www.amazon.com.mx/Ego-Gel-Power-Dark-Tarro/dp/B00CIEO9IA/ref=sr_1_13?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-13;EGO FOR MEN Gel Power 250ml;$19.50;null;https://images-na.ssl-images-amazon.com/images/I/61fl2HosveL._AC_SX425_.jpg;Disponible.;4.7 de 5 estrellas;"[""I liked it, it simply worked as promised, what else is there to say, it functions as promised...."",""""]"
https://www.amazon.com.mx/Ego-Espuma-Afeitar-Force-Skin/dp/B07G5RVQNJ/ref=sr_1_14?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-14;EGO Crema para Afeitar Force 200ml;$48.50;null;https://images-na.ssl-images-amazon.com/images/I/514lLHW1GuL._AC_SX425_.jpg;Disponible.;4.1 de 5 estrellas;[]
https://www.amazon.com.mx/Crema-para-Afeitar-Fresh-200ml/dp/B088MM272H/ref=sr_1_15?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-15;EGO Crema para Afeitar Fresh 200ml;$48.50;null;https://images-na.ssl-images-amazon.com/images/I/512XdRdpT1L._AC_SX425_.jpg;Disponible.;4.6 de 5 estrellas;"[""Buena relación precio y producto."",""Es buen producto, dura mucho y el aroma esta bien"",""Es mejor el gel, pero cumple con su función."",""Es una crema regular pero a un costo muy pequeño"",""Buen producto que ayuda bastante a la depilación de cualquier zona"",""Muy buena . Compre en oferta"",""Muy buena y más económica que otras marcas  sin irritación.""]"
https://www.amazon.com.mx/Ego-Cera-Modeladora-Dry-25/dp/B06W5N5517/ref=sr_1_16?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-16;Ego Ego Cera Modeladora Ego Dry, 25 G, Pack of 1;$17.88;null;https://images-na.ssl-images-amazon.com/images/I/51SNNG9cJTL._AC_SX425_.jpg;Disponible.;4.8 de 5 estrellas;"[""La verdad, solía comprarla en mi tiendita de la esquina pero por alguna razón la dejaron de vender y metieron la misma marca pero otro color y tipo.<br><br>Me encantó encontrarla aquí en Amazon y más barata jaja""]"
https://www.amazon.com.mx/EGO-Ego-control-caspa-230ml/dp/B08LCJ13M7/ref=sr_1_17?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-17;EGO Ego gel control caspa 230ml;$19.50;null;https://images-na.ssl-images-amazon.com/images/I/51B%2B%2BvYfjAL._AC_SY355_.jpg;Disponible.;4.7 de 5 estrellas;[]
https://www.amazon.com.mx/EGO-Ego-control-caspa-450ml/dp/B08LCJDCKR/ref=sr_1_18?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-18;EGO Ego gel control caspa 450ml;$35.90;null;https://images-na.ssl-images-amazon.com/images/I/51qvBTc981L._AC_SY355_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/Ego-Men-Aerosol-Fresh-Pack/dp/B07R8YNGYH/ref=sr_1_19?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-19;EGO Desodorante para Hombre Aerosol Fresh 150ml;$35.90;null;https://images-na.ssl-images-amazon.com/images/I/51mE2FLWpzL._AC_SX425_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/EGO-shampoo-control-caspa-400ml/dp/B08LCKZ7CY/ref=sr_1_20?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-20;EGO Ego shampoo control caspa 400ml;$55.00;null;https://images-na.ssl-images-amazon.com/images/I/518WP%2BqxRmL._AC_SY355_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/desodorante-hombre-barra-ULTRA-FRESH/dp/B08FNHM4RW/ref=sr_1_21?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-21;EGO desodorante para hombre en barra ULTRA FRESH 45g;$22.90;null;https://images-na.ssl-images-amazon.com/images/I/51DFS5irvcL._AC_SX425_.jpg;Disponible.;4.4 de 5 estrellas;"[""pues ni para el arranque en mi casi pues no me sirvio""]"
https://www.amazon.com.mx/EGO-desodorante-para-hombre-SPORT/dp/B08FNV2X18/ref=sr_1_22?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-22;EGO desodorante para hombre en GEL SPORT 80g;$51.90;null;https://images-na.ssl-images-amazon.com/images/I/51sHBH1m7jL._AC_SX425_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/EGO-shampoo-control-caspa-200ml/dp/B08LCGFCL8/ref=sr_1_23?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-23;EGO Ego shampoo control caspa 200ml;$33.80;null;https://images-na.ssl-images-amazon.com/images/I/51UwvAj1VEL._AC_SY355_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/Ego-Para-Afeitar-Force-Pack/dp/B07RCL7VF5/ref=sr_1_24?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-24;Ego Gel Para Afeitar Ego Force (200 Ml), Pack of 1;$70.96;null;https://images-na.ssl-images-amazon.com/images/I/7122lXzJUxL._AC_SY879_.jpg;Disponible.;0;[]
https://www.amazon.com.mx/Ego-Gel-Diez-Tarro-200/dp/B00T5QZWPS/ref=sr_1_25?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-25;Ego Gel para hombre, 200 ml;null;null;https://images-na.ssl-images-amazon.com/images/I/515Z7lxqlzL._AC_SX425_.jpg;Not Available;0;[]
https://www.amazon.com.mx/Ego-Boost-Pod-Sistema-calentado/dp/B00986T8IW/ref=sr_1_26?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-26;Ego Boost Pod - Sistema de rodillo calentado;$1,651.51;null;https://images-na.ssl-images-amazon.com/images/I/81kFiRWsPmL._AC_SX425_.jpg;Disponible.;0;[]